,index,acc,loss,val_acc,val_loss
0,0,0.03786,4.3991358099,0.0974,4.02366450787
1,1,0.08254,4.03395754957,0.1576,3.70769362926
2,2,0.11582,3.81215644741,0.1896,3.48799454927
3,3,0.1406,3.63984165812,0.2222,3.31560425282
4,4,0.1644,3.50231401873,0.2394,3.20186651945
5,5,0.1857,3.39970142269,0.2551,3.13305135012
6,6,0.20136,3.29236769867,0.2746,3.04174158573
7,7,0.21734,3.19597029591,0.2862,2.97358677149
8,8,0.2345,3.10192180443,0.2975,2.93431206703
9,9,0.2475,3.00904989147,0.2981,2.8943486166
10,10,0.26378,2.92880388069,0.3094,2.81601308107
11,11,0.27854,2.84352546835,0.3111,2.79736821175
12,12,0.29354,2.76062754917,0.3204,2.74798069477
13,13,0.30826,2.67937918329,0.3174,2.74550037146
14,14,0.32238,2.59748642063,0.3223,2.74818444967
15,15,0.33262,2.53819313288,0.3259,2.72869306803
16,16,0.35148,2.44873155546,0.3276,2.71333963394
17,17,0.35912,2.40035562062,0.3244,2.72729466438
18,18,0.37256,2.33245530891,0.323,2.73316879749
19,19,0.38534,2.28014856076,0.3274,2.72772181034
20,20,0.3964,2.20965454984,0.3279,2.7395112443
21,21,0.41382,2.143355021,0.3249,2.74829837084
22,22,0.42276,2.09259335351,0.3284,2.76567679167
23,23,0.43594,2.04229933953,0.3271,2.77122141361
24,24,0.44454,1.98760681367,0.3306,2.77721403122
25,25,0.45616,1.93617413354,0.3252,2.81100642204
26,26,0.46386,1.89564548612,0.3174,2.8243432498
27,27,0.47614,1.83760466743,0.3294,2.83872969151
28,28,0.48628,1.80082236242,0.3231,2.86421904325
29,29,0.49584,1.76103593373,0.3266,2.88977825165
30,30,0.50686,1.71677052569,0.3298,2.89233117819
31,0,0.5117,1.69352542281,0.3264,2.88654115438
32,1,0.52114,1.65683257008,0.3225,2.92934957027
33,2,0.52688,1.62062705898,0.3254,2.9425080514
34,3,0.53426,1.59019472623,0.3213,3.03553091764
35,4,0.5429,1.56141672945,0.322,3.02726364374
36,5,0.54784,1.54307484126,0.3247,2.97906193018
37,6,0.55218,1.51862340426,0.3264,3.01431854248
38,7,0.5625,1.48023309398,0.3225,3.0307136941
39,8,0.57018,1.45449789572,0.3218,3.06379542112
40,9,0.57826,1.4196739763,0.3185,3.10708709955
41,10,0.58252,1.40364977121,0.3263,3.107861166
42,11,0.58336,1.388417871,0.3155,3.17096508503
43,12,0.5945,1.36623206472,0.3135,3.14513320684
44,13,0.59906,1.33665684259,0.3143,3.18917598724
45,14,0.60492,1.31375629675,0.3208,3.22499238491
46,15,0.6065,1.30174273825,0.3213,3.22606027842
47,16,0.61112,1.28924721062,0.3172,3.27920542717
48,17,0.61498,1.27142341065,0.3174,3.23862221241
49,18,0.62478,1.24268628728,0.321,3.25366541386
50,19,0.62744,1.22988502824,0.3199,3.23421206236
51,20,0.6305,1.21950285637,0.3202,3.30303284407
52,21,0.6353,1.20464744067,0.3198,3.31816712141
53,22,0.64288,1.17239881396,0.3217,3.2996514535
54,23,0.64406,1.16767393649,0.3203,3.43425177336
55,24,0.64818,1.14884748065,0.3135,3.31890970469
56,25,0.65074,1.14728842306,0.3171,3.35143834591
57,26,0.65788,1.11698189139,0.3166,3.38151876688
58,27,0.65884,1.1137288754,0.3146,3.40037562847
59,28,0.66506,1.09649126875,0.3128,3.4228335762
60,29,0.66796,1.08538539338,0.3146,3.48158898354
61,30,0.66548,1.08918255413,0.3137,3.39936426401
62,31,0.67172,1.06716570115,0.3175,3.49957404375
63,32,0.67484,1.05920312643,0.3126,3.43029340982
64,33,0.67664,1.04967242992,0.3192,3.48302669764
65,34,0.68124,1.04045500064,0.3204,3.44013576746
66,35,0.68062,1.03769749248,0.3141,3.43110959291
67,36,0.68656,1.01686114264,0.3157,3.45022881269
68,37,0.69062,1.00345644116,0.3202,3.50511330605
69,38,0.6927,0.996465252042,0.317,3.5336320138
70,39,0.69296,0.995085214972,0.3147,3.54756801844
71,40,0.698,0.981227507114,0.3185,3.53920738459
72,41,0.7005,0.964694510937,0.3156,3.63212842703
73,42,0.69814,0.974372769356,0.3148,3.61713352442
74,43,0.70268,0.961402789831,0.3182,3.60540117741
75,44,0.71038,0.9425640769,0.3121,3.58239262819
76,45,0.70604,0.951339547276,0.3128,3.62842817307
77,46,0.7123,0.926002226233,0.3143,3.60758973122
78,47,0.71114,0.935418803334,0.3191,3.64323541164
79,48,0.7132,0.921923583984,0.3179,3.72723739624
80,49,0.71654,0.916975043416,0.3158,3.71715204
81,50,0.71718,0.909495817423,0.3149,3.62980373621
82,51,0.718,0.910795470536,0.3124,3.63950398684
